ID,SMILES,DATASET,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,ACID_ATOMS,AROM_ATOMS,BASIC_ATOMS,BROMINE,CHLORINE,FLUORINE,IODINE,NITROGEN,OXYGEN,FRACROTBOND,CHIRALCENTERS,FORMALCHARGE
DB01413,CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CSC12)c1csc(=N)[nH]1,FDA,9,3,-1.449529999999996,150.76999999999998,480.5720000000002,0.5263157894736842,32,4,13,7,0,3,0,1,1,2,0,1,0,0,0,0,6,5,0.22857143,2,0
DB01415,N=c1[nH]c(C(CCC(=O)O)C(=O)N=C2C(=O)N3C(C(=O)O)=CCSC23)cs1,FDA,7,4,0.3552700000000003,163.98,410.4330000000001,0.3333333333333333,27,3,12,6,0,2,0,1,1,0,0,0,0,0,0,0,4,6,0.24137931,2,0
DB01416,COC=C1CSC2C(=NC(=O)C(NOC)c3csc(=N)[nH]3)C(=O)N2C1C(=O)O,FDA,9,4,-0.3860299999999986,157.17,427.4640000000001,0.4,28,3,13,6,0,2,0,1,1,0,0,0,0,0,0,0,5,6,0.23333333,3,0
DB01418,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,FDA,6,1,3.517800000000003,110.65,353.33000000000004,0.1578947368421052,26,3,7,5,0,0,2,1,3,0,12,0,0,0,0,0,1,6,0.17857143,1,0
DB01419,O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1N=c1cc[nH]c2cc(C(F)(F)F)ccc12,FDA,5,1,6.416900000000005,60.93,588.5520000000004,0.2666666666666666,42,5,12,6,0,1,3,1,4,0,18,0,0,0,6,0,4,2,0.19565217,0,0
DB01420,CCC(=O)OC1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,FDA,3,0,4.840100000000005,43.370000000000005,344.4950000000001,0.8181818181818182,25,4,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0.10714286,6,0
DB01421,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)C2O)C(N)C(O)C1O,FDA,19,13,-8.861700000000015,347.32,615.6340000000004,1.0,42,4,19,9,1,3,0,0,0,0,0,0,0,0,0,0,5,14,0.2,19,0
DB01424,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,FDA,4,0,1.55042,30.17,231.29900000000004,0.3076923076923077,17,2,4,2,0,0,1,1,2,0,6,0,0,0,0,0,3,1,0.11111111,0,0
DB01426,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,FDA,4,2,1.5545,46.94,326.44,0.7,24,7,4,1,1,5,1,0,1,0,6,0,0,0,0,0,2,2,0.034482758,9,0
DB01427,Nc1cc(-c2ccncc2)c[nH]c1=O,FDA,3,2,1.0191,71.77,187.202,0.0,14,2,4,1,0,0,0,2,2,0,6,0,0,0,0,0,3,1,0.06666667,0,0
