SCAFFOLD,AMOUNT,FREQUENCY,SCA_MOL,ID_SCAFFOLD,DATABASE
O=c1ccc2cc3ccoc3cc2o1,23,0.15339469120981725,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4becd60>,4FUV4,UNPD-A
C1CCNC1,23,0.15339469120981725,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4becdd0>,DZAMN,UNPD-A
C(=Cc1ccccc1)c1ccccc1,22,0.14672535680939042,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bece40>,U8P67,UNPD-A
c1cnccn1,22,0.14672535680939042,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4beceb0>,MOP5G,UNPD-A
c1ccc(Cc2ccccc2)cc1,22,0.14672535680939042,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4becf20>,9YGYU,UNPD-A
c1ccc2occc2c1,22,0.14672535680939042,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4becf90>,GXXH4,UNPD-A
C=C1C(=O)C23CCC4CCCCC4C2CCC1C3,21,0.1400560224089636,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed000>,3UVCH,UNPD-A
c1ccc2c(c1)[nH]c1cnccc12,21,0.1400560224089636,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed070>,OKCS3,UNPD-A
C1CCOC1,21,0.1400560224089636,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed0e0>,X1WMF,UNPD-A
O=C1C=CC(=O)c2ccccc21,21,0.1400560224089636,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed150>,HOCTD,UNPD-A
c1ccc2cc3ccccc3cc2c1,21,0.1400560224089636,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed1c0>,JZ7JW,UNPD-A
O=C1CCCO1,21,0.1400560224089636,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed230>,TJU6F,UNPD-A
C1CCC2C(C1)CCC13CCC(CCC21)C3,20,0.13338668800853673,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed2a0>,X5BFL,UNPD-A
c1ccc2c(c1)CC1NCCc3cc4c(c-2c31)OCO4,20,0.13338668800853673,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed310>,L7R3V,UNPD-A
c1ccc2c(c1)CCCC2,19,0.1267173536081099,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed380>,QWUER,UNPD-A
c1ccc2c(c1)CC1NCCc3cccc-2c31,19,0.1267173536081099,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed3f0>,A8RXY,UNPD-A
O=C(CCc1ccccc1)c1ccccc1,19,0.1267173536081099,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed460>,QVO0W,UNPD-A
c1ccc2nc3occc3cc2c1,19,0.1267173536081099,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed4d0>,949DR,UNPD-A
c1ccc2c(c1)CCNC2,18,0.12004801920768307,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed540>,3CCEL,UNPD-A
C1=C2CCCCC2C2CCC3CCCC3C2C1,18,0.12004801920768307,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed5b0>,0II83,UNPD-A
C1CCNCC1,18,0.12004801920768307,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed620>,CNJRE,UNPD-A
O=C1Oc2ccccc2Oc2ccccc21,18,0.12004801920768307,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed690>,PE45P,UNPD-A
O=c1cc[nH]c2ccccc12,18,0.12004801920768307,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed700>,MOVHX,UNPD-A
c1c[nH]cn1,18,0.12004801920768307,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed770>,RHM3N,UNPD-A
C1CCC(COC2CCCCO2)OC1,17,0.11337868480725624,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed7e0>,09JNY,UNPD-A
C1=C2CCCCC2CCC1,17,0.11337868480725624,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed850>,O30IF,UNPD-A
