SCAFFOLD,AMOUNT,FREQUENCY,SCA_MOL,ID_SCAFFOLD,DATABASE
O=S(=O)(N=c1nccc[nH]1)c1ccccc1,5,0.21514629948364886,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2b140>,WDUNU,FDA
C1CCCC1,4,0.17211703958691912,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2b1b0>,M54ID,FDA
O=C(NCC1CCCN1)c1ccccc1,4,0.17211703958691912,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2b220>,N63YZ,FDA
C(=C(c1ccccc1)c1ccccc1)c1ccccc1,4,0.17211703958691912,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2b290>,1RDP3,FDA
[N+]=C1C=CC(=C(c2ccccc2)c2ccccc2)C=C1,4,0.17211703958691912,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2b300>,U0LMM,FDA
O=c1cc[nH]n1-c1ccccc1,4,0.17211703958691912,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2b370>,23KN8,FDA
O=S1(=O)NCNc2ccccc21,4,0.17211703958691912,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2b3e0>,KX7ZD,FDA
C1=CCCCC1,4,0.17211703958691912,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2b450>,A9WOQ,FDA
O=C(NC1C(=O)N2CCSC12)c1conc1-c1ccccc1,4,0.17211703958691912,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2b4c0>,8VJ4I,FDA
C1CC2CCOC3OC4CCC(C1)C23OO4,4,0.17211703958691912,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2b530>,YM91W,FDA
O=C(Oc1ccccc1)c1ccccc1,4,0.17211703958691912,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2b5a0>,35SCA,FDA
O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,4,0.17211703958691912,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2b610>,Z8QIE,FDA
C1C2CC3CC1CC(C2)C3,4,0.17211703958691912,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2b680>,4F7IL,FDA
O=C1CCCN1,4,0.17211703958691912,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2b6f0>,L6D1X,FDA
O=C1C=CC2C(=CCC3C4CCCC4CC(=O)C23)C1,4,0.17211703958691912,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2b760>,PLEI0,FDA
c1ccc(C(c2ccccc2)N2CCNCC2)cc1,4,0.17211703958691912,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2b7d0>,P9H9O,FDA
c1ccc(COc2ccccc2)cc1,4,0.17211703958691912,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2b840>,EBBHB,FDA
