ID,SMILES,DATASET,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,ACID_ATOMS,AROM_ATOMS,BASIC_ATOMS,BROMINE,CHLORINE,FLUORINE,IODINE,NITROGEN,OXYGEN,FRACROTBOND,CHIRALCENTERS,FORMALCHARGE
FDB016197,C=CCOC(=O)CCCCCC1CCCCC1,FooDB commercially available,2,0,4.246400000000004,26.3,238.37099999999992,0.8,17,1,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.52941179,0,0
FDB016195,CCC(=O)CSC,FooDB commercially available,2,0,1.3285,17.07,118.201,0.8,7,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0
FDB010988,O=c1c2ccccc2oc2c(O)cccc12,FooDB commercially available,3,1,2.6518000000000006,50.44,212.204,0.0,16,3,3,0,0,0,2,1,3,0,12,0,0,0,0,0,0,3,0.0,0,0
FDB010987,COc1ccc2oc3ccccc3c(=O)c2c1,FooDB commercially available,3,0,2.9548000000000005,39.44,226.231,0.0714285714285714,17,3,3,1,0,0,2,1,3,0,12,0,0,0,0,0,0,3,0.052631579,0,0
FDB010986,O=c1c2ccccc2oc2ccc(O)cc12,FooDB commercially available,3,1,2.6518000000000006,50.44,212.204,0.0,16,3,3,0,0,0,2,1,3,0,12,0,0,0,0,0,0,3,0.0,0,0
FDB016165,SCCc1cnccn1,FooDB commercially available,3,1,0.9489,25.78,140.21099999999998,0.3333333333333333,9,1,3,2,0,0,0,1,1,0,6,0,0,0,0,0,2,0,0.22222222,0,0
FDB010970,Cn1c2ccccc2c(=O)c2c(O)cccc21,FooDB commercially available,3,1,2.3973000000000004,42.23,225.247,0.0714285714285714,17,3,3,0,0,0,2,1,3,0,12,0,0,0,0,0,1,2,0.0,0,0
FDB018473,CCc1ccc(C)cc1O,FooDB commercially available,1,1,2.2630200000000005,20.23,136.194,0.3333333333333333,10,1,1,1,0,0,1,0,1,0,6,0,0,0,0,0,0,1,0.1,0,0
FDB018474,CCc1cc(C)ccc1O,FooDB commercially available,1,1,2.2630200000000005,20.23,136.194,0.3333333333333333,10,1,1,1,0,0,1,0,1,0,6,0,0,0,0,0,0,1,0.1,0,0
FDB012595,CC(=O)NCCc1c[nH]cn1,FooDB commercially available,2,2,0.0882999999999998,57.78,153.185,0.4285714285714285,11,1,4,3,0,0,0,1,1,0,5,0,0,0,0,0,3,1,0.36363637,0,0
FDB010968,c1ccc(-c2nccnc2-c2ccccc2)cc1,FooDB commercially available,2,0,3.8106000000000018,25.78,232.28600000000003,0.0,18,3,2,2,0,0,2,1,3,0,18,0,0,0,0,0,2,0,0.1,0,0
FDB010967,Cc1cscc1C,FooDB commercially available,1,0,2.36494,0.0,112.197,0.3333333333333333,7,1,1,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0.0,0,0
FDB010966,Cc1ccc(C)s1,FooDB commercially available,1,0,2.3649400000000007,0.0,112.197,0.3333333333333333,7,1,1,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0.0,0,0
FDB010965,Cc1csc(C)c1,FooDB commercially available,1,0,2.3649400000000007,0.0,112.197,0.3333333333333333,7,1,1,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0.0,0,0
FDB010964,Cc1ccsc1C,FooDB commercially available,1,0,2.36494,0.0,112.197,0.3333333333333333,7,1,1,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0.0,0,0
FDB010963,Cc1ncsc1C,FooDB commercially available,2,0,1.75994,12.89,113.185,0.4,7,1,2,0,0,0,0,1,1,0,5,0,0,0,0,0,1,0,0.0,0,0
FDB010962,Cc1cnc(C)s1,FooDB commercially available,2,0,1.7599399999999998,12.89,113.185,0.4,7,1,2,0,0,0,0,1,1,0,5,0,0,0,0,0,1,0,0.0,0,0
FDB010961,Cc1csc(C)n1,FooDB commercially available,2,0,1.75994,12.89,113.185,0.4,7,1,2,0,0,0,0,1,1,0,5,0,0,0,0,0,1,0,0.0,0,0
FDB010960,Cc1ccc(C)[nH]1,FooDB commercially available,0,1,1.63154,15.79,95.145,0.3333333333333333,7,1,1,0,0,0,0,1,1,0,5,0,0,0,0,0,1,0,0.0,0,0
FDB010958,Cc1nccnc1C,FooDB commercially available,2,0,1.09344,25.78,108.144,0.3333333333333333,8,1,2,0,0,0,0,1,1,0,6,0,0,0,0,0,2,0,0.0,0,0
FDB018487,O=S(=O)(Oc1ccc(Cl)cc1)c1ccccc1,FooDB commercially available,3,0,3.107700000000001,43.370000000000005,268.721,0.0,17,2,5,3,0,0,2,0,2,0,12,0,0,1,0,0,0,3,0.16666667,0,0
FDB018471,CCc1cc(C)cc(O)c1,FooDB commercially available,1,1,2.26302,20.23,136.194,0.3333333333333333,10,1,1,1,0,0,1,0,1,0,6,0,0,0,0,0,0,1,0.1,0,0
FDB018470,CCc1ccc(O)c(C)c1,FooDB commercially available,1,1,2.26302,20.23,136.194,0.3333333333333333,10,1,1,1,0,0,1,0,1,0,6,0,0,0,0,0,0,1,0.1,0,0
FDB016146,Cc1cnc(C(C)C)cn1,FooDB commercially available,2,0,1.90842,25.78,136.19799999999998,0.5,10,1,2,1,0,0,0,1,1,0,6,0,0,0,0,0,2,0,0.1,0,0
FDB010978,CC(=O)Oc1ccc2c(C)cc(=O)oc2c1,FooDB commercially available,4,0,2.02672,56.510000000000005,218.208,0.1666666666666666,16,2,4,1,0,0,1,1,2,0,6,0,0,0,0,0,0,4,0.11764706,0,0
FDB016164,CCC(=O)c1nccs1,FooDB commercially available,3,0,1.7358,29.96,141.195,0.3333333333333333,9,1,3,2,0,0,0,1,1,0,5,0,0,0,0,0,1,1,0.22222222,0,0
FDB030432,O=C(O)CCO,FooDB commercially available,2,2,-0.5466,57.53,90.078,0.6666666666666666,6,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.40000001,0,0
FDB018455,CCCCCCCCCCCCOC(C)=O,FooDB commercially available,2,0,4.470400000000004,26.3,228.37599999999995,0.9285714285714286,16,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.80000001,0,0
FDB010983,O=c1occcc1O,FooDB commercially available,3,1,0.3453999999999999,50.44,112.08399999999996,0.0,8,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0.0,0,0
FDB010982,OCc1cccs1,FooDB commercially available,2,1,1.2404,20.23,114.16899999999998,0.2,7,1,2,1,0,0,0,1,1,0,5,0,0,0,0,0,0,1,0.14285715,0,0
FDB098186,Cc1ccccc1C(=O)O,FooDB commercially available,1,1,1.69322,37.3,136.15,0.125,10,1,2,1,0,0,1,0,1,0,6,0,0,0,0,0,0,2,0.1,0,0
FDB010977,Cc1occ(O)c(=O)c1O,FooDB commercially available,4,2,0.3594199999999997,70.67,142.11,0.1666666666666666,10,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0.0,0,0
FDB010971,O=c1cc(O)c2ccccc2o1,FooDB commercially available,3,1,1.4986,50.44,162.14399999999998,0.0,12,2,3,0,0,0,1,1,2,0,6,0,0,0,0,0,0,3,0.0,0,0
FDB010976,CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,FooDB commercially available,3,0,4.247200000000003,39.44,280.32300000000004,0.1666666666666666,21,3,3,3,0,0,2,1,3,0,12,0,0,0,0,0,0,3,0.13043478,0,0
