ID,SMILES,DATASET,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,ACID_ATOMS,AROM_ATOMS,BASIC_ATOMS,BROMINE,CHLORINE,FLUORINE,IODINE,NITROGEN,OXYGEN,FRACROTBOND,CHIRALCENTERS,FORMALCHARGE
UNPD_subset_A_5945,C=CCC=CCC=CCCCCCCCc1ccc(O)c(O)c1,UNPD_A,2,2,6.059500000000006,40.46,314.46899999999994,0.4285714285714285,23,1,2,12,0,0,1,0,1,0,6,0,0,0,0,0,0,2,0.52173913,0,0
UNPD_subset_A_5946,c1ccc2c3c([nH]c2c1)CNCC3,UNPD_A,1,2,1.8136,27.82,172.23099999999997,0.2727272727272727,13,3,2,0,0,1,1,1,2,0,9,0,0,0,0,0,2,0,0.0,0,0
UNPD_subset_A_5947,O=C(c1cc(O)cc(O)c1)c1c(O)cc(O)cc1O,UNPD_A,6,5,1.4455999999999998,118.22,262.217,0.0,19,2,6,2,0,0,2,0,2,0,12,0,0,0,0,0,0,6,0.1,0,0
UNPD_subset_A_5948,OCC1OC(OC2C(O)COC(OC3COC(O)C(O)C3O)C2O)C(O)C1O,UNPD_A,13,8,-5.655699999999992,207.99,414.36,1.0,28,3,13,5,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0.16666667,12,0
UNPD_subset_A_5949,OCC1OC(Oc2cc(O)cc3c2CCC(c2ccc(O)cc2)O3)C(O)C(O)C1O,UNPD_A,9,6,0.3427999999999996,149.07,420.414,0.4285714285714285,30,4,9,4,0,2,2,0,2,0,12,0,0,0,0,0,0,9,0.12121212,6,0
UNPD_subset_A_5950,O=C1c2c(O)cc(OC3OC(CO)C(O)C(O)C3O)cc2OC1(O)Cc1ccc(O)cc1,UNPD_A,11,7,-1.217100000000001,186.37,450.3960000000002,0.3809523809523809,32,4,11,5,0,2,2,0,2,0,12,0,0,0,0,0,0,11,0.14285715,6,0
UNPD_subset_A_5951,N=c1[nH]cnc2c1ncn2C1OC(CC(N)CCC(N)C(=O)O)C(O)C1O,UNPD_A,10,7,-2.232429999999997,209.38,381.393,0.6,27,3,12,7,0,1,0,2,2,0,5,0,0,0,0,0,7,5,0.24137931,6,0
UNPD_subset_A_5952,O=C(C=Cc1ccc(O)cc1)OC1C(O)C(CO)OC(Oc2ccccc2CO)C1O,UNPD_A,9,5,0.3274999999999997,145.91000000000005,432.4250000000002,0.3181818181818182,31,3,9,7,0,1,2,0,2,0,12,0,0,0,0,0,0,9,0.24242425,5,0
UNPD_subset_A_5953,O=C(O)c1ccc(O)c(-c2ccc(O)c(-c3ccc(O)cc3)c2)c1,UNPD_A,4,4,3.835600000000001,97.99,322.316,0.0,24,3,5,3,0,0,3,0,3,0,18,0,0,0,0,0,0,5,0.11538462,0,0
UNPD_subset_A_5954,OC1C2CCCN=C2C2CC1C1CCCCN1C2,UNPD_A,3,1,1.7025,35.830000000000005,248.36999999999995,0.9333333333333332,18,4,3,0,1,3,0,0,0,0,0,0,0,0,0,0,2,1,0.0,5,0
