SCAFFOLD,AMOUNT,FREQUENCY,SCA_MOL,ID_SCAFFOLD,DATABASE
O=C(CCc1ccccc1)c1ccccc1,3,0.12386457473162675,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4eb20>,QVO0W,FooDB purchasable
c1ccc(N=Nc2ccc3ccccc3c2)cc1,3,0.12386457473162675,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4eb90>,VOCEJ,FooDB purchasable
c1ccc(Cc2ccccc2)cc1,3,0.12386457473162675,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4ec00>,9YGYU,FooDB purchasable
O=c1ccc2cc3c(cc2o1)OCC=C3,3,0.12386457473162675,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4ec70>,Y8M29,FooDB purchasable
O=c1oc2ccccc2c2ccccc12,3,0.12386457473162675,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4ece0>,J9RGS,FooDB purchasable
O=C1C=CCCC1,3,0.12386457473162675,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4ed50>,KU558,FooDB purchasable
O=c1[nH]c2ccccc2o1,3,0.12386457473162675,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4edc0>,7CQFQ,FooDB purchasable
O=C(OCCc1ccccc1)c1ccccc1,3,0.12386457473162675,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4ee30>,8XQG5,FooDB purchasable
O=c1cc(-c2cccc(-c3cccc4c(=O)cc(-c5ccccc5)oc34)c2)oc2ccccc12,3,0.12386457473162675,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4eea0>,XQKWK,FooDB purchasable
c1ccc2occc2c1,3,0.12386457473162675,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4ef10>,GXXH4,FooDB purchasable
O=c1c2ccccc2[nH]c2ccccc12,3,0.12386457473162675,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4ef80>,91DO4,FooDB purchasable
C1CCCC1,3,0.12386457473162675,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4eff0>,M54ID,FooDB purchasable
c1cc[nH+]cc1,3,0.12386457473162675,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4f060>,BP3PW,FooDB purchasable
O=c1cccco1,3,0.12386457473162675,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4f0d0>,B7GOH,FooDB purchasable
O=C1CCCCC1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4f140>,RQ6GY,FooDB purchasable
O=c1ccc2ccc3c(c2o1)OCO3,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4f1b0>,TDAZO,FooDB purchasable
c1ccc2c(c1)CCCC2,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4f220>,QWUER,FooDB purchasable
O=C1C=CCC1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4f290>,AHK9F,FooDB purchasable
c1ccc2c(c1)CCC2,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4f300>,HDG1T,FooDB purchasable
O=c1[nH]cnc2[nH]cnc12,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4f370>,GV5J8,FooDB purchasable
c1ccc2c(N=Nc3cccc4ccccc34)cccc2c1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4f3e0>,APG7F,FooDB purchasable
O=c1cc[nH]c2ccccc12,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4f450>,MOVHX,FooDB purchasable
c1ccc(CCc2ccccc2)cc1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4f4c0>,TMI4O,FooDB purchasable
O=C1OCc2ccccc21,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4f530>,RXNNQ,FooDB purchasable
c1ccc(-c2cccnc2)cc1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4f5a0>,PJBCY,FooDB purchasable
O=c1cc(-c2ccccc2)c2ccccc2o1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4f610>,KLQBN,FooDB purchasable
O=c1cc(-c2ccccc2)[nH]c2ccccc12,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4f680>,8UCNI,FooDB purchasable
O=c1oc2ccccc2cc1-c1ccccc1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4f6f0>,H1UIY,FooDB purchasable
O=c1c(-c2ccc3c(c2)C=CCO3)coc2ccccc12,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4f760>,039WL,FooDB purchasable
c1ccc2c(c1)Cc1ccccc1-2,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4f7d0>,0IF1O,FooDB purchasable
